country,transition_year,hdi_at_transition,latest_year,latest_hdi
Iceland,1990,0.841,,
Norway,1990,0.856,,
Switzerland,1990,0.858,,
Denmark,1990,0.844,,
Germany,1990,0.834,,
Sweden,1990,0.818,,
Australia,1990,0.867,,
"Hong Kong, China (SAR)",2000,0.839,,
Netherlands,1990,0.855,,
Belgium,1990,0.824,,
Ireland,2000,0.869,,
Finland,1990,0.823,,
Singapore,1990,0.819,,
United Kingdom,1990,0.812,,
United Arab Emirates,2010,0.835,,
Canada,1990,0.865,,
Liechtenstein,2000,0.882,,
New Zealand,1990,0.811,,
United States,1990,0.878,,
Korea (Republic of),2000,0.83,,
Slovenia,2000,0.829,,
Austria,1990,0.832,,
Japan,1990,0.853,,
Malta,2010,0.867,,
Luxembourg,2000,0.861,,
France,2000,0.852,,
Israel,2000,0.839,,
Spain,2000,0.833,,
Czechia,2000,0.817,,
Italy,2000,0.849,,
San Marino,2000,0.881,,
Andorra,2000,0.825,,
Cyprus,2000,0.808,,
Greece,2000,0.828,,
Poland,2000,0.801,,
Estonia,2010,0.868,,
Saudi Arabia,2010,0.801,,
Bahrain,2010,0.81,,
Lithuania,2010,0.854,,
Portugal,2010,0.836,,
Croatia,2010,0.831,,
Latvia,2010,0.833,,
Qatar,2010,0.834,,
Slovakia,2010,0.851,,
Chile,2010,0.823,,
Hungary,2010,0.838,,
Argentina,2010,0.844,,
Montenegro,2010,0.815,,
Uruguay,2015,0.818,,
Oman,2010,0.804,,
Türkiye,2015,0.821,,
Kuwait,2010,0.812,,
Antigua and Barbuda,2010,0.828,,
Seychelles,2015,0.819,,
Bulgaria,2015,0.824,,
Romania,2010,0.822,,
Georgia,2015,0.807,,
Saint Kitts and Nevis,2015,0.83,,
Panama,2015,0.803,,
Brunei Darussalam,2010,0.83,,
Kazakhstan,2015,0.819,,
Costa Rica,2015,0.803,,
Serbia,2015,0.802,,
Russian Federation,2010,0.808,,
Belarus,2010,0.803,,
Bahamas,2010,0.801,,
Malaysia,2015,0.8,,
North Macedonia,2022,0.811,,
Armenia,2022,0.801,,
Barbados,2015,0.8,,
Albania,2022,0.806,,
Trinidad and Tobago,2015,0.808,,
Mauritius,2023,0.806,,
Bosnia and Herzegovina,2023,0.804,,
Thailand,2021,0.8,,
Palau,2015,0.802,,
Europe and Central Asia,2020,0.802,,
