country,transition_year,hdi_at_transition,mean_fertility_before,years_used_before,gni_before,most_recent_fertility,most_recent_year,gni_now,fertility_change,decline_category
Israel,2000,0.839,2.8670999999999998,1990-1999,20380.0,2.87,2024,52910.0,0.0029000000000003467,Minimal decline (<0.5)
Slovenia,2000,0.829,1.312,1990-1999,11200.0,1.52,2024,31790.0,0.20799999999999996,Minimal decline (<0.5)
Russian Federation,2010,0.808,1.3426,2000-2009,9980.0,1.418,2024,15320.0,0.07539999999999991,Minimal decline (<0.5)
Hungary,2010,0.838,1.3119999999999998,2000-2009,13250.0,1.41,2024,20770.0,0.09800000000000009,Minimal decline (<0.5)
Slovakia,2010,0.851,1.271,2000-2009,17600.0,1.46,2024,23560.0,0.18900000000000006,Minimal decline (<0.5)
Croatia,2010,0.831,1.4529999999999998,2000-2009,13890.0,1.46,2024,22250.0,0.007000000000000117,Minimal decline (<0.5)
Serbia,2015,0.802,1.424,2005-2014,6210.0,1.64,2024,11610.0,0.21599999999999997,Minimal decline (<0.5)
Kazakhstan,2015,0.819,2.5625,2005-2014,11040.0,2.984,2024,12090.0,0.4215,Minimal decline (<0.5)
Bulgaria,2015,0.824,1.5260000000000002,2005-2014,7620.0,1.72,2024,15370.0,0.19399999999999973,Minimal decline (<0.5)
Armenia,2022,0.801,1.6300000000000001,2012-2021,5690.0,1.7,2024,7810.0,0.06999999999999984,Minimal decline (<0.5)
Mauritius,2023,0.806,1.417,2013-2022,12570.0,1.44,2024,12970.0,0.02299999999999991,Minimal decline (<0.5)
Bosnia and Herzegovina,2023,0.804,1.4140000000000001,2013-2022,8280.0,1.492,2024,8790.0,0.07799999999999985,Minimal decline (<0.5)
