before_rank,country,transition_year,mean_fertility_before,most_recent_fertility,fertility_change
1,Saudi Arabia,2010,3.4154000000000004,2.308,-1.1074000000000006
2,Israel,2000,2.8670999999999998,2.87,0.0029000000000003467
3,Qatar,2010,2.7088000000000005,1.717,-0.9918000000000005
4,Kuwait,2010,2.6207000000000003,1.56,-1.0607000000000002
5,Panama,2015,2.5979,2.106,-0.4919000000000002
6,Kazakhstan,2015,2.5625,2.984,0.4215
7,Bahrain,2010,2.5317000000000003,1.805,-0.7267000000000003
8,Argentina,2010,2.4524,1.504,-0.9483999999999999
9,Oman,2010,2.2932499999999996,1.39,-0.9032499999999997
10,Seychelles,2015,2.241,1.85,-0.391
11,Malaysia,2015,2.1978,1.543,-0.6548
12,United Arab Emirates,2010,2.1852000000000005,1.213,-0.9722000000000004
13,Iceland,1990,2.176,1.56,-0.6160000000000001
14,Türkiye,2015,2.134,1.48,-0.6539999999999999
15,Brunei Darussalam,2010,2.1053,1.731,-0.3743000000000001
16,Cyprus,2000,2.0889,1.38,-0.7089000000000003
17,Uruguay,2015,2.0332999999999997,1.397,-0.6362999999999996
18,Bahamas,2010,2.0086999999999997,1.374,-0.6346999999999996
19,New Zealand,1990,1.998,1.57,-0.42799999999999994
20,Palau,2015,1.9857,1.883,-0.10270000000000001
21,Antigua and Barbuda,2010,1.9464,1.582,-0.36439999999999984
22,Ireland,2000,1.9419999999999997,1.47,-0.47199999999999975
23,Costa Rica,2015,1.8996,1.318,-0.5815999999999999
24,Chile,2010,1.887,1.14,-0.7470000000000001
25,Australia,1990,1.8824,1.481,-0.4014
26,Georgia,2015,1.8712,1.802,-0.06919999999999993
27,United States,1990,1.8586000000000003,1.6265,-0.2321000000000002
28,Montenegro,2010,1.8199,1.8,-0.01990000000000003
29,United Kingdom,1990,1.8029999999999997,1.551,-0.2519999999999998
30,France,2000,1.7570000000000001,1.61,-0.14700000000000002
31,Sweden,1990,1.7549999999999997,1.43,-0.32499999999999973
32,Barbados,2015,1.7451,1.708,-0.03710000000000013
33,Norway,1990,1.7309999999999999,1.45,-0.2809999999999999
34,Poland,2000,1.7289999999999999,1.14,-0.589
35,Japan,1990,1.7269999999999999,1.15,-0.577
36,Singapore,1990,1.6940000000000002,0.97,-0.7240000000000002
37,Canada,1990,1.6934999999999998,1.25,-0.4434999999999998
38,Luxembourg,2000,1.686,1.25,-0.43599999999999994
39,Finland,1990,1.6640000000000001,1.25,-0.41400000000000015
40,Armenia,2022,1.6300000000000001,1.7,0.06999999999999984
41,Trinidad and Tobago,2015,1.6145,1.536,-0.07850000000000001
42,Korea (Republic of),2000,1.5984,0.748,-0.8504
43,Belgium,1990,1.5799999999999998,1.44,-0.1399999999999999
44,Switzerland,1990,1.541,1.29,-0.2509999999999999
45,Albania,2022,1.5399,1.341,-0.19890000000000008
46,Netherlands,1990,1.5340000000000003,1.43,-0.10400000000000031
47,Austria,1990,1.531,1.31,-0.22099999999999986
48,Bulgaria,2015,1.5260000000000002,1.72,0.19399999999999973
49,Liechtenstein,2000,1.511,1.37,-0.1409999999999998
50,Estonia,2010,1.509,1.18,-0.32899999999999996
51,Denmark,1990,1.4809999999999999,1.47,-0.010999999999999899
52,North Macedonia,2022,1.459,1.4,-0.05900000000000016
53,Croatia,2010,1.4529999999999998,1.46,0.007000000000000117
54,Czechia,2000,1.45,1.36,-0.08999999999999986
55,Malta,2010,1.443,1.01,-0.43300000000000005
56,Serbia,2015,1.424,1.64,0.21599999999999997
57,Thailand,2021,1.4225,1.204,-0.21850000000000014
58,Mauritius,2023,1.417,1.44,0.02299999999999991
59,Portugal,2010,1.416,1.41,-0.006000000000000005
60,Bosnia and Herzegovina,2023,1.4140000000000001,1.492,0.07799999999999985
61,Romania,2010,1.401,1.39,-0.01100000000000012
62,Germany,1990,1.401,1.36,-0.040999999999999925
63,Latvia,2010,1.377,1.24,-0.137
64,Andorra,2000,1.3628,1.087,-0.27580000000000005
65,Russian Federation,2010,1.3426,1.418,0.07539999999999991
66,Lithuania,2010,1.337,1.11,-0.22699999999999987
67,Belarus,2010,1.3321,1.217,-0.11509999999999998
68,Slovenia,2000,1.312,1.52,0.20799999999999996
69,Hungary,2010,1.3119999999999998,1.41,0.09800000000000009
70,Greece,2000,1.3050000000000002,1.24,-0.06500000000000017
71,Slovakia,2010,1.271,1.46,0.18900000000000006
72,Italy,2000,1.245,1.18,-0.06500000000000017
73,"Hong Kong, China (SAR)",2000,1.2207000000000001,0.841,-0.37970000000000015
74,Spain,2000,1.2200000000000002,1.1,-0.1200000000000001
75,San Marino,2000,1.1912,1.158,-0.03320000000000012
